ApplicationID,Name,Gender,Age,City,State,AppliedProgram,ApplicationStatus,DateApplied
A00001,Jennifer Jones,Other,31,Kinghaven,Nebraska,Business,Accepted,2024-10-17
A00002,Samantha Marshall,Female,19,Jamieville,Indiana,Law,Rejected,2024-02-20
A00003,Troy Fisher,Male,29,Franciscohaven,Mississippi,Business,Rejected,2024-01-13
A00004,Nicholas Neal,Female,23,Josephshire,Minnesota,Law,Interview Scheduled,2024-02-07
A00005,Linda Wells,Male,26,Port Aimeeview,Rhode Island,Business,Interview Scheduled,2024-05-08
A00006,Nathan Guerrero,Female,22,Paynechester,Washington,Business,Accepted,2024-04-01
A00007,Melissa Mcgrath,Other,26,New Cynthia,Alaska,Business,Interview Scheduled,2024-11-12
A00008,Anthony Robbins,Female,23,New Nicole,Vermont,Engineering,Accepted,2024-09-12
A00009,Gregory Salazar,Other,25,Mathewmouth,Pennsylvania,Law,Rejected,2024-05-27
A00010,Paul Hughes,Male,31,New Michael,Mississippi,Law,Accepted,2024-06-03
A00011,Frances Marquez,Other,26,Danielview,Pennsylvania,Engineering,Accepted,2024-04-26
A00012,Brianna Greene,Female,21,Cherylland,New Mexico,Business,Accepted,2023-12-21
A00013,Mrs. Sarah Villarreal DDS,Other,24,New Heatherside,Minnesota,Law,Accepted,2024-04-27
A00014,Joseph Schaefer,Other,29,East Joseshire,Kansas,Business,Accepted,2024-01-18
A00015,Justin Ibarra,Female,28,Michaelside,Delaware,Law,Interview Scheduled,2024-04-01
A00016,Jennifer Drake,Other,21,North Anthonyville,Maryland,Engineering,Interview Scheduled,2024-02-25
A00017,Jamie Gentry,Male,19,Kelseychester,Massachusetts,Computer Science,Submitted,2024-12-03
A00018,Courtney Vasquez,Female,21,Port Dustin,Kentucky,Arts,Submitted,2024-01-30
A00019,Angela Lambert,Male,32,South Ashley,Louisiana,Business,Rejected,2024-07-09
A00020,Brendan Bright,Male,34,Lake Julie,Minnesota,Engineering,Submitted,2024-05-25
A00021,Evan Webb,Other,30,South Vanessa,Wisconsin,Computer Science,Rejected,2024-09-26
A00022,Samuel Maxwell,Female,24,Antoniofurt,North Dakota,Business,Accepted,2024-04-16
A00023,Natalie Morgan,Other,30,Lake Fernando,Pennsylvania,Engineering,Interview Scheduled,2024-05-18
A00024,Gary Hernandez,Other,18,West Peter,Virginia,Engineering,Submitted,2024-12-04
A00025,Michael Adams,Other,25,New Jenny,Montana,Business,Interview Scheduled,2024-04-05
A00026,Jeffrey Wolf,Other,22,West Jonville,South Carolina,Business,Interview Scheduled,2024-02-23
A00027,Anthony Villa,Male,21,Skinnerburgh,Arkansas,Arts,Submitted,2024-11-20
A00028,Brooke Blackburn,Female,30,Ashleychester,New Mexico,Engineering,Rejected,2024-05-14
A00029,Angela Miller,Male,29,Allenport,Iowa,Engineering,Accepted,2024-09-12
A00030,Laura Hudson,Other,34,West Danielbury,Pennsylvania,Business,Interview Scheduled,2024-06-29
A00031,Matthew Phillips,Other,31,Patriciastad,Illinois,Business,Accepted,2024-07-02
A00032,Julia Shepherd,Female,26,Charlesfort,Massachusetts,Law,Submitted,2024-10-02
A00033,Jessica Johnson,Other,28,North Brookemouth,Virginia,Business,Accepted,2024-01-06
A00034,Jordan Woods,Female,30,East Robertburgh,South Dakota,Arts,Accepted,2024-07-18
A00035,Richard Weiss,Other,35,Lake Coreyland,Georgia,Arts,Accepted,2023-12-28
A00036,Mia Adams,Other,19,Angelaton,Missouri,Arts,Accepted,2024-01-18
A00037,Kristie Larson,Female,35,South Amystad,Wisconsin,Computer Science,Submitted,2024-08-09
A00038,Michael Morgan,Male,20,Silvaberg,Kentucky,Business,Rejected,2024-09-29
A00039,Michael Love,Other,24,Port Sheriport,Ohio,Law,Rejected,2024-09-05
A00040,Amanda Barber,Female,22,Ashleyburgh,Maryland,Arts,Submitted,2024-01-31
A00041,Alyssa Brown,Female,35,Porterbury,Minnesota,Business,Accepted,2024-11-04
A00042,Mark Martinez,Male,35,West Eric,South Carolina,Arts,Interview Scheduled,2024-08-25
A00043,Jeff Palmer,Female,18,Williamsville,Kansas,Business,Interview Scheduled,2024-02-16
A00044,Lauren Garcia,Male,34,South Pamela,Missouri,Engineering,Interview Scheduled,2024-07-03
A00045,William Palmer,Other,28,North Robert,Pennsylvania,Arts,Rejected,2024-08-18
A00046,Michele Mathis,Other,29,West Davidstad,North Dakota,Engineering,Accepted,2023-12-14
