ApplicationID,InterviewerName,InterviewDate,Score,Feedback
A00001,Thomas Johnson,2024-08-17,73,Average performance
A00002,John Greene,2024-04-12,64,Excellent communication
A00003,Heather Crosby,2024-09-12,56,Needs improvement
A00004,Christina Johnson,2024-08-24,57,Average performance
A00005,Sean Meyer,2024-10-23,53,Needs improvement
A00006,Shawna Williams,2024-04-23,90,Excellent communication
A00007,Denise Acosta,2024-10-20,65,Needs improvement
A00008,Matthew Bennett,2024-08-27,91,Average performance
A00009,Darrell White,2024-06-24,79,Average performance
A00010,Brian King DVM,2024-08-24,63,Needs improvement
A00011,Tiffany Garcia,2024-10-19,90,Good technical skills
A00012,Amy Williams,2024-04-12,76,Needs improvement
A00013,William Carr,2024-01-23,64,Good technical skills
A00014,Anita Craig,2024-07-22,94,Average performance
A00015,Andrew Gamble,2024-02-09,92,Excellent communication
A00016,Carolyn Smith,2024-11-06,89,Excellent communication
A00017,Mitchell Wilson,2024-01-20,53,Average performance
A00018,Katie Oneal,2024-02-21,51,Good technical skills
A00019,Keith Gardner,2024-07-23,52,Excellent communication
A00020,Charles Reyes,2024-11-07,89,Needs improvement
A00021,Mark Rodriguez,2024-02-25,91,Good technical skills
A00022,James Koch,2024-03-03,73,Average performance
A00023,Jason Anderson,2024-06-03,81,Average performance
A00024,Dr. William Norman,2024-09-23,96,Excellent communication
A00025,Samuel Tran,2024-03-22,57,Good technical skills
A00026,Pamela Moore,2024-06-19,90,Excellent communication
A00027,Margaret George,2024-09-30,66,Good technical skills
A00028,Christine Williams,2024-09-22,76,Excellent communication
A00029,Michaela Perry,2024-09-10,94,Needs improvement
A00030,Marcus Lopez,2024-07-11,65,Good technical skills
A00031,Janet Huber,2024-01-07,60,Needs improvement
A00032,Sharon Frederick,2024-09-09,67,Average performance
A00033,Elizabeth Smith,2024-05-07,93,Good technical skills
A00034,Paul Haynes,2024-05-08,83,Needs improvement
A00035,Jennifer Wagner,2024-05-27,53,Good technical skills
A00036,Karen Miller,2024-01-06,85,Average performance
A00037,Christopher Harvey,2024-04-30,52,Excellent communication
A00038,Kimberly Brock,2024-10-31,79,Excellent communication
A00039,Robert Black,2024-11-30,72,Needs improvement
A00040,Michele Farrell,2024-03-28,82,Good technical skills
A00041,Ernest Murphy,2024-01-26,66,Excellent communication
A00042,Lisa Cook,2024-01-17,98,Average performance
A00043,Tina Curtis,2024-03-20,67,Average performance
A00044,Robert Jefferson MD,2024-11-16,68,Excellent communication
A00045,Cheryl Williams,2024-01-21,59,Average performance
A00046,Mary Barber,2024-10-10,65,Average performance
A00047,Julie Campbell,2023-12-19,96,Excellent communication
A00048,Raymond Stephenson,2024-01-04,54,Good technical skills
A00049,Trevor Carter,2024-08-20,67,Needs improvement
A00050,Philip Lewis,2024-08-26,66,Average performance
A00051,Kara Joseph,2024-01-02,53,Excellent communication
A00052,Elizabeth Dunn,2024-04-18,72,Needs improvement
A00053,Anthony Le,2024-06-07,51,Good technical skills
A00054,Robert Vasquez,2024-11-01,61,Good technical skills
A00055,Thomas Harvey,2024-11-04,86,Average performance
A00056,Jacqueline Weaver,2024-05-21,52,Average performance
A00057,Richard King,2024-09-10,94,Needs improvement
A00058,Carrie Harris,2024-03-20,81,Needs improvement
A00059,Patricia Wilkins,2024-07-02,52,Needs improvement
A00060,Kelsey Beasley,2024-04-02,77,Average performance
A00061,Justin Scott,2024-01-24,86,Good technical skills
A00062,Summer Ortega,2024-08-08,94,Excellent communication
A00063,Stephen Arnold,2024-11-21,65,Average performance
A00064,David Boyd,2024-04-05,75,Average performance
A00065,Dr. Ray Anderson,2024-02-22,86,Excellent communication
A00066,Frances Ramirez,2024-10-21,85,Excellent communication
A00067,Danny Calhoun,2024-11-18,61,Good technical skills
A00068,Sabrina Martinez,2024-01-11,71,Needs improvement
A00069,Jason Allen,2024-06-19,55,Average performance
A00070,Douglas Wells,2024-01-28,87,Excellent communication
A00071,David Hampton,2024-11-09,61,Excellent communication
A00072,Debra Ellis,2024-07-23,68,Needs improvement
A00073,Brent Reeves,2024-10-24,97,Average performance
A00074,Christopher Garcia,2024-01-25,91,Average performance
A00075,Dorothy Molina,2024-03-06,63,Average performance
A00076,Taylor Weaver,2024-06-18,69,Needs improvement
A00077,Daniel Thompson,2024-09-24,76,Good technical skills
A00078,Brandon Rowe,2024-02-24,86,Excellent communication
A00079,Larry Wood MD,2024-11-15,98,Excellent communication
A00080,William Mitchell,2024-06-20,76,Average performance
A00081,Haley Richardson MD,2024-05-10,95,Average performance
A00082,Valerie Gutierrez,2024-08-17,64,Excellent communication
A00083,Erika Bryant,2024-08-12,51,Good technical skills
A00084,Austin Murray,2024-09-28,73,Excellent communication
A00085,Scott Mckinney,2024-08-02,98,Good technical skills
A00086,Daniel Barnes,2024-06-05,86,Needs improvement
A00087,Justin Bates,2024-10-01,73,Good technical skills
A00088,Diana Reeves,2024-05-01,57,Excellent communication
A00089,Cory Smith,2023-12-15,51,Average performance
A00090,Jessica Murray,2024-03-03,62,Needs improvement
A00091,Jeffrey Rodriguez,2024-06-05,98,Average performance
A00092,Kara Brady,2024-01-17,57,Average performance
A00093,Derek Mason,2024-01-04,94,Needs improvement
A00094,Eric Watkins,2024-06-18,68,Good technical skills
A00095,Jonathan Norman,2024-05-04,78,Average performance
A00096,Amanda Briggs,2024-11-27,62,Excellent communication
A00097,John Harris,2024-10-01,52,Needs improvement
A00098,Theresa Baker,2024-07-12,60,Needs improvement
A00099,Katherine Moses,2024-01-10,97,Needs improvement
A00100,Calvin Allen,2024-01-18,86,Needs improvement
A00101,Christopher Hamilton,2024-10-17,60,Average performance
A00102,Samuel Jarvis,2024-09-14,53,Good technical skills
A00103,Dorothy Carter,2023-12-21,91,Average performance
A00104,Timothy Waters,2024-07-30,89,Average performance
A00105,Vincent Garrison,2023-12-10,71,Good technical skills
A00106,William Clark,2024-12-01,62,Needs improvement
A00107,Alex Barton,2024-03-23,57,Average performance
A00108,Jessica Estrada,2024-05-22,77,Needs improvement
A00109,Laura Moses,2024-04-07,60,Average performance
A00110,Laura Marshall,2024-02-22,63,Average performance
A00111,Brandon Brown,2024-05-22,74,Needs improvement
A00112,Kimberly Maxwell,2024-09-12,94,Needs improvement
A00113,Joshua Howard,2024-05-03,68,Excellent communication
A00114,Michael Long DDS,2024-09-28,76,Excellent communication
A00115,Loretta Hernandez,2024-07-27,57,Needs improvement
A00116,Bradley Frazier,2024-03-17,60,Average performance
A00117,Michelle Berry,2024-09-21,71,Needs improvement
A00118,Michael Kemp,2024-04-26,70,Average performance
A00119,Sharon Davis,2024-05-26,59,Good technical skills
A00120,John Wyatt,2024-09-25,90,Excellent communication
A00121,Connie Brown,2024-12-09,58,Excellent communication
A00122,Ashley Morris,2024-04-20,98,Good technical skills
A00123,Erik Humphrey,2024-11-10,76,Needs improvement
A00124,Jennifer Heath,2023-12-13,64,Excellent communication
A00125,David Myers,2024-11-24,93,Needs improvement
A00126,John Tyler,2023-12-26,97,Excellent communication
A00127,Patricia Murphy,2023-12-25,84,Needs improvement
A00128,Charles Stone,2024-03-13,81,Needs improvement
A00129,Danielle Reilly,2023-12-28,96,Excellent communication
A00130,Kimberly Hoffman,2024-07-20,63,Excellent communication
A00131,Tonya Morales,2024-01-09,72,Average performance
A00132,Richard Thompson,2024-11-15,60,Average performance
