ApplicationID,Name,Gender,Age,City,State,AppliedProgram,ApplicationStatus,DateApplied,TestDate,QuantitativeScore,LogicalScore,VerbalScore,TotalScore,NumThankYou,NumFollowUp,NumReminder,NumAppStatus,AvgResponseTime,LastCommDate,MostFrequentChannel,InterviewerName,InterviewDate,Score,Feedback
A00001,Jennifer Jones,Other,31,Kinghaven,Nebraska,Business,Accepted,2024-10-17 00:00:00,2024-12-03 00:00:00,30,15,27,72,1,0,0,0,4,2024-03-17 00:00:00,Email,Thomas Johnson,2024-08-17 00:00:00,73,Average performance
A00002,Samantha Marshall,Female,19,Jamieville,Indiana,Law,Rejected,2024-02-20 00:00:00,2024-03-22 00:00:00,14,13,38,65,0,0,0,1,48,2024-01-20 00:00:00,WhatsApp,John Greene,2024-04-12 00:00:00,64,Excellent communication
A00004,Nicholas Neal,Female,23,Josephshire,Minnesota,Law,Interview Scheduled,2024-02-07 00:00:00,2024-11-13 00:00:00,24,34,35,93,0,1,0,0,2,2024-11-21 00:00:00,Email,Christina Johnson,2024-08-24 00:00:00,57,Average performance
A00006,Nathan Guerrero,Female,22,Paynechester,Washington,Business,Accepted,2024-04-01 00:00:00,2024-09-18 00:00:00,22,22,23,67,1,0,0,0,4,2024-10-22 00:00:00,WhatsApp,Shawna Williams,2024-04-23 00:00:00,90,Excellent communication
A00007,Melissa Mcgrath,Other,26,New Cynthia,Alaska,Business,Interview Scheduled,2024-11-12 00:00:00,2024-12-02 00:00:00,18,14,30,62,0,1,0,0,6,2024-04-10 00:00:00,WhatsApp,Denise Acosta,2024-10-20 00:00:00,65,Needs improvement
A00008,Anthony Robbins,Female,23,New Nicole,Vermont,Engineering,Accepted,2024-09-12 00:00:00,2024-06-30 00:00:00,16,11,38,65,1,0,0,0,2,2024-03-30 00:00:00,WhatsApp,Matthew Bennett,2024-08-27 00:00:00,91,Average performance
A00010,Paul Hughes,Male,31,New Michael,Mississippi,Law,Accepted,2024-06-03 00:00:00,2024-11-16 00:00:00,12,28,32,72,0,0,1,0,48,2024-10-31 00:00:00,WhatsApp,Brian King DVM,2024-08-24 00:00:00,63,Needs improvement
A00011,Frances Marquez,Other,26,Danielview,Pennsylvania,Engineering,Accepted,2024-04-26 00:00:00,2024-05-15 00:00:00,40,19,15,74,1,0,0,0,6,2024-09-24 00:00:00,WhatsApp,Tiffany Garcia,2024-10-19 00:00:00,90,Good technical skills
A00012,Brianna Greene,Female,21,Cherylland,New Mexico,Business,Accepted,2023-12-21 00:00:00,2024-02-19 00:00:00,21,34,23,78,0,0,1,0,4,2024-09-08 00:00:00,Email,Amy Williams,2024-04-12 00:00:00,76,Needs improvement
A00013,Mrs. Sarah Villarreal DDS,Other,24,New Heatherside,Minnesota,Law,Accepted,2024-04-27 00:00:00,2024-10-07 00:00:00,25,39,40,104,1,0,0,0,6,2024-06-18 00:00:00,Email,William Carr,2024-01-23 00:00:00,64,Good technical skills
A00014,Joseph Schaefer,Other,29,East Joseshire,Kansas,Business,Accepted,2024-01-18 00:00:00,2023-12-11 00:00:00,17,29,12,58,0,1,0,0,24,2024-02-17 00:00:00,Email,Anita Craig,2024-07-22 00:00:00,94,Average performance
A00015,Justin Ibarra,Female,28,Michaelside,Delaware,Law,Interview Scheduled,2024-04-01 00:00:00,2024-03-15 00:00:00,21,18,23,62,0,1,0,0,12,2024-02-12 00:00:00,WhatsApp,Andrew Gamble,2024-02-09 00:00:00,92,Excellent communication
A00016,Jennifer Drake,Other,21,North Anthonyville,Maryland,Engineering,Interview Scheduled,2024-02-25 00:00:00,2024-08-22 00:00:00,19,26,25,70,0,1,0,0,24,2024-11-10 00:00:00,Email,Carolyn Smith,2024-11-06 00:00:00,89,Excellent communication
A00017,Jamie Gentry,Male,19,Kelseychester,Massachusetts,Computer Science,Submitted,2024-12-03 00:00:00,2024-10-11 00:00:00,29,20,11,60,0,1,0,0,6,2024-01-27 00:00:00,WhatsApp,Mitchell Wilson,2024-01-20 00:00:00,53,Average performance
